sale_id,product_id,sale_date,quantity_sold,sale_price,customer_region,sales_channel,salesperson_id
d921adab-ed3f-4263-b3f0-3d5e2782659d,P0100,2025-01-02,2,86.82,East,Online,SP043
34da4e2f-2939-4862-8776-c4f812cdbd06,P0044,2025-01-17,1,294.98,West,Retail,SP016
c31c94f9-1ff9-492e-a52e-9dafbf0593fd,P0008,2025-02-16,6,140.17,South,Retail,SP008
6bf7293e-afb8-4362-a12f-640069674bb3,P0082,2025-01-23,1,465.16,East,Retail,SP010
d9a34f9a-e104-4de9-9fa3-8a8f511b77f8,P0047,2025-01-25,3,470.64,South,Online,SP009
55074db3-3518-428e-b2ce-b99a7965edf9,P0036,2025-01-04,3,217.68,East,Distributor,SP027
a550b9d9-6781-47e4-b7a9-9186df181215,P0022,2025-03-20,3,191.57,East,Online,SP034
3f4039ba-e475-4920-ae2c-957393bf9036,P0016,2025-02-24,5,243.05,North,Retail,SP009
5bd655b2-da8a-4717-9ec8-2c1b3ff834ad,P0085,2025-03-07,5,231.8,North,Online,SP036
9477f657-b8fd-4028-b8db-181e0fd96e60,P0052,2025-04-09,5,354.48,South,Retail,SP046
4c041b32-a2e9-4e45-89cb-2575e37f5616,P0093,2025-03-14,4,29.67,South,Retail,SP013
c76db3a4-1149-4c7f-838a-64e776d7212a,P0006,2024-12-31,7,250.75,West,Retail,SP048
190b6e35-b562-4b1e-8d60-214b55ce8b08,P0042,2024-11-22,1,391.21,North,Retail,SP038
2c3fa1ec-a48f-4c1b-aa7f-c0f55b39b87e,P0033,2025-01-24,4,383.93,South,Online,SP044
67f49045-79e3-4df0-be76-85595e3abba0,P0009,2025-03-10,6,116.49,South,Distributor,SP013
b36ebb38-b3bd-42fd-9cca-cec23ec3059d,P0053,2024-12-31,9,376.93,North,Distributor,SP036
7f015d60-a627-4d10-9316-d6fa45a83219,P0005,2025-01-20,8,238.67,South,Online,SP022
d3ad05ed-f628-42b8-9da4-599d5569221e,P0075,2024-12-28,5,39.13,East,Online,SP044
f2e3a0a8-8e47-4c59-bb56-b37dc7ca1cab,P0026,2025-01-25,6,134.54,East,Online,SP048
